0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2017001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017029,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017032,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017034,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017035,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017045,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017054,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017056,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,3,2,3,6,4,7,5,3,4,2,2,4,2,6,2
0,1.79%,5.36%,3.57%,5.36%,10.71%,7.14%,12.50%,8.93%,5.36%,7.14%,3.57%,3.57%,7.14%,3.57%,10.71%,3.57%
